model,benchmark,score
MoLFormer,polaris/adme-fang-hclint-1,0.6990324015659282
MoLFormer,polaris/adme-fang-hclint-1,0.7123970059515434
PCA_MLP_Prefitted,polaris/adme-fang-hclint-1,0.61103280885482
PCA_MLP,polaris/adme-fang-hclint-1,0.6149667429579602
minimol,polaris/adme-fang-hclint-1,0.7227979704501122
MoLFormer,polaris/adme-fang-hclint-1,0.7025926795466753
fastprop,polaris/adme-fang-hclint-1,0.6545303217655917
ChemProp,polaris/adme-fang-hclint-1,0.6211694042828204
ChemProp_Mordred,polaris/adme-fang-hclint-1,0.6366447653936873
fastprop,polaris/adme-fang-hclint-1,0.6582023046440604
PCA_MLP,polaris/adme-fang-hclint-1,0.6348255229021169
MLP_PLR_Pretrained,polaris/adme-fang-hclint-1,0.6634204029636178
fastprop,polaris/adme-fang-hclint-1,0.6417578777330453
MLP_PLR_Pretrained,polaris/adme-fang-hclint-1,0.6559171641265735
RF_Mordred,polaris/adme-fang-hclint-1,0.6351560373796259
MoLFormer,polaris/adme-fang-hclint-1,0.7095916945084295
fastprop,polaris/adme-fang-hclint-1,0.6489828208363397
ChemProp_Mordred,polaris/adme-fang-hclint-1,0.649499202641301
MLP_PLR_Pretrained,polaris/adme-fang-hclint-1,0.643035962526125
CheMeleon,polaris/adme-fang-hclint-1,0.7201224436011495
PCA_MLP_Prefitted,polaris/adme-fang-hclint-1,0.631417743591459
MoLFormer,polaris/adme-fang-hclint-1,0.7046131033951475
ChemProp_Mordred,polaris/adme-fang-hclint-1,0.6345851747277493
ChemProp,polaris/adme-fang-hclint-1,0.6404613320422048
PCA_MLP,polaris/adme-fang-hclint-1,0.6244296248994945
MolCLR,polaris/adme-fang-hclint-1,0.5161444226079548
CheMeleon,polaris/adme-fang-hclint-1,0.7275277687194579
RF_Morgan,polaris/adme-fang-hclint-1,0.4962132904658961
RF_Mordred,polaris/adme-fang-hclint-1,0.63798742035071
ChemProp,polaris/adme-fang-hclint-1,0.6618933929058317
RF_Mordred,polaris/adme-fang-hclint-1,0.6298356591737979
ChemProp_Mordred,polaris/adme-fang-hclint-1,0.6129233702564325
PCA_MLP_Prefitted,polaris/adme-fang-hclint-1,0.6190990623552705
ChemProp,polaris/adme-fang-hclint-1,0.626685908928898
MolCLR,polaris/adme-fang-hclint-1,0.5069808801415129
RF_Morgan,polaris/adme-fang-hclint-1,0.5092530356905982
ChemProp,polaris/adme-fang-hclint-1,0.6662928003688151
minimol,polaris/adme-fang-hclint-1,0.7180099420274828
ChemProp_Mordred,polaris/adme-fang-hclint-1,0.6439500487851932
MolCLR,polaris/adme-fang-hclint-1,0.508760360325342
minimol,polaris/adme-fang-hclint-1,0.7180913260700108
CheMeleon,polaris/adme-fang-hclint-1,0.7131814694684162
PCA_MLP_Prefitted,polaris/adme-fang-hclint-1,0.6375998672056499
MolCLR,polaris/adme-fang-rclint-1,0.5413646355667361
PCA_MLP,polaris/adme-fang-rclint-1,0.650609223480253
minimol,polaris/adme-fang-rclint-1,0.7360507993602234
MolCLR,polaris/adme-fang-rclint-1,0.5273544108629985
fastprop,polaris/adme-fang-rclint-1,0.6851278224711912
MLP_PLR_Pretrained,polaris/adme-fang-rclint-1,0.6869993804338705
RF_Mordred,polaris/adme-fang-rclint-1,0.6493639594515674
ChemProp_Mordred,polaris/adme-fang-rclint-1,0.6581035983343694
MoLFormer,polaris/adme-fang-rclint-1,0.7276959122124786
MoLFormer,polaris/adme-fang-rclint-1,0.7236011874505472
CheMeleon,polaris/adme-fang-rclint-1,0.7540787213203008
ChemProp,polaris/adme-fang-rclint-1,0.6984992260982636
RF_Mordred,polaris/adme-fang-rclint-1,0.6342843257338214
fastprop,polaris/adme-fang-rclint-1,0.6804349902060638
PCA_MLP_Prefitted,polaris/adme-fang-rclint-1,0.6611286206986366
MoLFormer,polaris/adme-fang-rclint-1,0.7162816949708143
ChemProp,polaris/adme-fang-rclint-1,0.7159101444791578
ChemProp_Mordred,polaris/adme-fang-rclint-1,0.6831699654927046
RF_Morgan,polaris/adme-fang-rclint-1,0.551361086183535
MoLFormer,polaris/adme-fang-rclint-1,0.7281510457503755
RF_Morgan,polaris/adme-fang-rclint-1,0.5409074243662966
ChemProp_Mordred,polaris/adme-fang-rclint-1,0.672647993460319
RF_Mordred,polaris/adme-fang-rclint-1,0.6442050906675219
MLP_PLR_Pretrained,polaris/adme-fang-rclint-1,0.6964072098630967
CheMeleon,polaris/adme-fang-rclint-1,0.7427290708544603
MolCLR,polaris/adme-fang-rclint-1,0.544346251541416
MolCLR,polaris/adme-fang-rclint-1,0.5335263702785654
minimol,polaris/adme-fang-rclint-1,0.7424773748221534
fastprop,polaris/adme-fang-rclint-1,0.6689941010586801
ChemProp_Mordred,polaris/adme-fang-rclint-1,0.6690151810525026
RF_Mordred,polaris/adme-fang-rclint-1,0.6349973324108293
CheMeleon,polaris/adme-fang-rclint-1,0.7411589637767434
RF_Morgan,polaris/adme-fang-rclint-1,0.5445207961384646
MolCLR,polaris/adme-fang-rclint-1,0.5648865915044958
RF_Mordred,polaris/adme-fang-rclint-1,0.6361614386877628
CheMeleon,polaris/adme-fang-rclint-1,0.749084690172475
fastprop,polaris/adme-fang-rclint-1,0.6834356185236604
CheMeleon,polaris/adme-fang-rclint-1,0.7441712499206925
ChemProp,polaris/adme-fang-rclint-1,0.6662869206991502
MLP_PLR_Pretrained,polaris/adme-fang-rclint-1,0.7033474968031737
ChemProp_Mordred,polaris/adme-fang-rclint-1,0.6671832316542522
fastprop,polaris/adme-fang-rclint-1,0.6865780819039338
PCA_MLP_Prefitted,polaris/adme-fang-rclint-1,0.6781355452436838
minimol,polaris/adme-fang-rclint-1,0.6989082042777915
RF_Morgan,polaris/adme-fang-rclint-1,0.5486419204750083
PCA_MLP_Prefitted,polaris/adme-fang-rclint-1,0.6601160808019203
PCA_MLP,polaris/adme-fang-rclint-1,0.6511813451795403
PCA_MLP_Prefitted,polaris/adme-fang-rclint-1,0.6500828266113278
RF_Morgan,polaris/adme-fang-rclint-1,0.5521277445579383
MLP_PLR_Pretrained,polaris/adme-fang-rclint-1,0.6925024458467064
minimol,polaris/adme-fang-rclint-1,0.7359894139096985
MLP_PLR_Pretrained,polaris/adme-fang-rclint-1,0.6929721190482513
PCA_MLP,polaris/adme-fang-rclint-1,0.6527252058766075
minimol,polaris/adme-fang-rclint-1,0.7479982547182376
ChemProp,polaris/adme-fang-rclint-1,0.6951542598912497
PCA_MLP,polaris/adme-fang-rclint-1,0.6471318046811034
PCA_MLP_Prefitted,polaris/adme-fang-rclint-1,0.6458205625183164
PCA_MLP,polaris/adme-fang-rclint-1,0.6492681465756127
ChemProp,polaris/adme-fang-rclint-1,0.6843521937463056
MoLFormer,polaris/adme-fang-rclint-1,0.714361755632358
ChemProp,polaris/adme-fang-perm-1,0.7030461555877876
fastprop,polaris/adme-fang-perm-1,0.749812092808102
PCA_MLP_Prefitted,polaris/adme-fang-perm-1,0.7197173301019035
PCA_MLP,polaris/adme-fang-perm-1,0.7163500032293111
PCA_MLP_Prefitted,polaris/adme-fang-perm-1,0.7400438610475429
CheMeleon,polaris/adme-fang-perm-1,0.7927713240681578
MolCLR,polaris/adme-fang-perm-1,0.42938893337062467
MolCLR,polaris/adme-fang-perm-1,0.4445423035118629
ChemProp,polaris/adme-fang-perm-1,0.6980057866897077
MolCLR,polaris/adme-fang-perm-1,0.422525873344049
minimol,polaris/adme-fang-perm-1,0.7908687284667666
ChemProp_Mordred,polaris/adme-fang-perm-1,0.7510951921188256
RF_Mordred,polaris/adme-fang-perm-1,0.7297352986685504
MoLFormer,polaris/adme-fang-perm-1,0.8004687350665166
fastprop,polaris/adme-fang-perm-1,0.7446911697084346
CheMeleon,polaris/adme-fang-perm-1,0.796131616717727
MoLFormer,polaris/adme-fang-perm-1,0.7874704469571652
RF_Mordred,polaris/adme-fang-perm-1,0.7224413017476272
RF_Mordred,polaris/adme-fang-perm-1,0.7226575658732739
CheMeleon,polaris/adme-fang-perm-1,0.796287971929639
PCA_MLP,polaris/adme-fang-perm-1,0.7050572296326156
ChemProp,polaris/adme-fang-perm-1,0.7145584468046873
PCA_MLP_Prefitted,polaris/adme-fang-perm-1,0.7198877867521483
RF_Morgan,polaris/adme-fang-perm-1,0.6610659686653804
MoLFormer,polaris/adme-fang-perm-1,0.7838752761631055
CheMeleon,polaris/adme-fang-perm-1,0.8232539216979715
PCA_MLP,polaris/adme-fang-perm-1,0.7233409003163536
ChemProp_Mordred,polaris/adme-fang-perm-1,0.7282391049942644
minimol,polaris/adme-fang-perm-1,0.7896882268056373
MLP_PLR_Pretrained,polaris/adme-fang-perm-1,0.7848974677259866
ChemProp_Mordred,polaris/adme-fang-perm-1,0.7229835690575251
RF_Morgan,polaris/adme-fang-perm-1,0.681762568329249
CheMeleon,polaris/adme-fang-perm-1,0.8139506884258298
MLP_PLR_Pretrained,polaris/adme-fang-perm-1,0.7569474711198562
MolCLR,polaris/adme-fang-perm-1,0.4472655587647629
minimol,polaris/adme-fang-perm-1,0.7940918660136109
RF_Morgan,polaris/adme-fang-perm-1,0.6690752552438191
minimol,polaris/adme-fang-perm-1,0.8027336946541437
RF_Morgan,polaris/adme-fang-perm-1,0.6693549609873073
ChemProp,polaris/adme-fang-perm-1,0.6713831330953548
RF_Mordred,polaris/adme-fang-perm-1,0.7302612661195375
ChemProp,polaris/adme-fang-perm-1,0.6988393132095868
PCA_MLP_Prefitted,polaris/adme-fang-perm-1,0.7195413340654004
MLP_PLR_Pretrained,polaris/adme-fang-perm-1,0.7728213266134383
RF_Mordred,polaris/adme-fang-perm-1,0.7260280586863765
fastprop,polaris/adme-fang-perm-1,0.7365469065828796
PCA_MLP,polaris/adme-fang-perm-1,0.7234713333296396
fastprop,polaris/adme-fang-perm-1,0.7497276420801129
MolCLR,polaris/adme-fang-perm-1,0.44060168745722184
ChemProp_Mordred,polaris/adme-fang-perm-1,0.7186336035546137
fastprop,polaris/adme-fang-perm-1,0.7399800198301233
RF_Morgan,polaris/adme-fang-perm-1,0.6767420605689841
MLP_PLR_Pretrained,polaris/adme-fang-perm-1,0.7765435258467267
PCA_MLP_Prefitted,polaris/adme-fang-perm-1,0.7226098352222453
minimol,polaris/adme-fang-perm-1,0.7839008135648361
ChemProp_Mordred,polaris/adme-fang-perm-1,0.7412924262400828
PCA_MLP,polaris/adme-fang-perm-1,0.7050540184761248
MLP_PLR_Pretrained,polaris/adme-fang-perm-1,0.7498429566963315
MoLFormer,polaris/adme-fang-perm-1,0.7943214828943682
MoLFormer,polaris/adme-fang-perm-1,0.7940605090042357
MoLFormer,tdcommons/bbb-martins,0.8854752970606629
fastprop,tdcommons/bbb-martins,0.9148295809881175
minimol,tdcommons/bbb-martins,0.8974749843652282
RF_Morgan,tdcommons/bbb-martins,0.877071607254534
ChemProp,tdcommons/bbb-martins,0.8651110068792996
minimol,tdcommons/bbb-martins,0.9135201688555347
MoLFormer,tdcommons/bbb-martins,0.863156660412758
ChemProp_Mordred,tdcommons/bbb-martins,0.9152986241400876
RF_Morgan,tdcommons/bbb-martins,0.8632348342714197
CheMeleon,tdcommons/bbb-martins,0.8690978736710445
PCA_MLP_Prefitted,tdcommons/bbb-martins,0.9169793621013131
MolCLR,tdcommons/bbb-martins,0.8621404002501564
MLP_PLR_Pretrained,tdcommons/bbb-martins,0.9131488430268918
RF_Morgan,tdcommons/bbb-martins,0.8608309881175735
CheMeleon,tdcommons/bbb-martins,0.9028298936835523
fastprop,tdcommons/bbb-martins,0.9182301438399
PCA_MLP,tdcommons/bbb-martins,0.8880550343964978
MLP_PLR_Pretrained,tdcommons/bbb-martins,0.9157676672920576
PCA_MLP_Prefitted,tdcommons/bbb-martins,0.8908692933083177
minimol,tdcommons/bbb-martins,0.9142041901188241
PCA_MLP,tdcommons/bbb-martins,0.8993707004377736
ChemProp,tdcommons/bbb-martins,0.8851626016260162
