k,display_name,context,metric,mean,std
182.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6510676011969107,0.05666409580823966
183.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6505459205793283,0.05693404821179228
184.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6499899236134246,0.05652406330853876
185.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6502174430512351,0.056270309358377964
186.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6501390724722511,0.05637634139139198
187.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6507723294275489,0.0566945389544726
188.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6496027053903178,0.05665388836940765
189.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6504710441709238,0.056491090863299634
190.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6502134430048969,0.05624662083182601
191.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6510086741325434,0.055501414053891515
192.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6503063217072768,0.05611334423341469
193.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6505008175838164,0.055886010918855845
194.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6500685391891524,0.056453272611631584
195.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6501951263875624,0.056236581434355566
196.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6498524226813704,0.05679476454588779
197.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6497464638322696,0.05611402700786826
198.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6492761109835434,0.05626674636509399
199.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.649797489825538,0.05644822211038143
200.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6497228739735174,0.05753545610484534
1.0,Chemprop (default),average,balanced_accuracy,0.6300600196708672,0.047191418172838
2.0,Chemprop (default),average,balanced_accuracy,0.6300600196708672,0.047191418172838
3.0,Chemprop (default),average,balanced_accuracy,0.6417170598759198,0.048421083951347664
4.0,Chemprop (default),average,balanced_accuracy,0.6439025078077684,0.04379731496586532
5.0,Chemprop (default),average,balanced_accuracy,0.648609898713352,0.046047235582018044
6.0,Chemprop (default),average,balanced_accuracy,0.6473041362291315,0.04750967060893957
7.0,Chemprop (default),average,balanced_accuracy,0.6489387386454833,0.04652769587604412
8.0,Chemprop (default),average,balanced_accuracy,0.6519008724140886,0.0439714691688468
9.0,Chemprop (default),average,balanced_accuracy,0.6516518300839472,0.04898179338979825
10.0,Chemprop (default),average,balanced_accuracy,0.6528814250236665,0.04597064152389657
11.0,Chemprop (default),average,balanced_accuracy,0.6524229358298694,0.04851882782694424
12.0,Chemprop (default),average,balanced_accuracy,0.6536766890615808,0.04673611149221192
13.0,Chemprop (default),average,balanced_accuracy,0.6542555088501212,0.04687593563710134
14.0,Chemprop (default),average,balanced_accuracy,0.655966840244201,0.04736855575044833
15.0,Chemprop (default),average,balanced_accuracy,0.6543339917440711,0.048198715927880935
16.0,Chemprop (default),average,balanced_accuracy,0.6551823492009923,0.049003459047218915
17.0,Chemprop (default),average,balanced_accuracy,0.653264445132141,0.050458525311066926
18.0,Chemprop (default),average,balanced_accuracy,0.654746473632754,0.05015141576625263
19.0,Chemprop (default),average,balanced_accuracy,0.6538633283975996,0.05014786710969411
20.0,Chemprop (default),average,balanced_accuracy,0.6552382747919655,0.048313525774857535
21.0,Chemprop (default),average,balanced_accuracy,0.653611754803942,0.04909449436311572
22.0,Chemprop (default),average,balanced_accuracy,0.6549370675244249,0.04922012604283733
23.0,Chemprop (default),average,balanced_accuracy,0.6533747390144289,0.04989132531030143
24.0,Chemprop (default),average,balanced_accuracy,0.6550340737001895,0.047743349965622586
25.0,Chemprop (default),average,balanced_accuracy,0.6541390968942757,0.05006908336648799
26.0,Chemprop (default),average,balanced_accuracy,0.6546713158205877,0.049374673295754234
27.0,Chemprop (default),average,balanced_accuracy,0.6529723804565218,0.04982337277832065
28.0,Chemprop (default),average,balanced_accuracy,0.6550839175326578,0.04886329796321436
29.0,Chemprop (default),average,balanced_accuracy,0.65444097919822,0.04965459176726532
30.0,Chemprop (default),average,balanced_accuracy,0.6561255333567867,0.04730482168498453
31.0,Chemprop (default),average,balanced_accuracy,0.6548130882739795,0.050195716375077075
32.0,Chemprop (default),average,balanced_accuracy,0.6553554761378473,0.048800702871507465
33.0,Chemprop (default),average,balanced_accuracy,0.6538477002499082,0.05057994697616737
34.0,Chemprop (default),average,balanced_accuracy,0.654484984949161,0.05018019914058022
35.0,Chemprop (default),average,balanced_accuracy,0.6540238821906879,0.0495274315997232
36.0,Chemprop (default),average,balanced_accuracy,0.6535174434072774,0.04992653860804399
37.0,Chemprop (default),average,balanced_accuracy,0.6530592972835555,0.05152617097280512
38.0,Chemprop (default),average,balanced_accuracy,0.6530149189288332,0.0509036056756967
39.0,Chemprop (default),average,balanced_accuracy,0.6538043177380511,0.05009843517572406
40.0,Chemprop (default),average,balanced_accuracy,0.6536921496902722,0.05004983678556431
41.0,Chemprop (default),average,balanced_accuracy,0.6536802670318436,0.05001639084586206
42.0,Chemprop (default),average,balanced_accuracy,0.6539830132276147,0.05009948886728418
