model,benchmark,score
minimol,tdcommons/ppbr-az,8.795964256655125
MolCLR,tdcommons/ppbr-az,9.671809811395908
CheMeleon,tdcommons/ppbr-az,8.056217212711122
Chemprop,tdcommons/ppbr-az,7.9328169632640435
minimol,tdcommons/ppbr-az,9.651369125011357
CheMeleon,tdcommons/ppbr-az,7.825839714910134
MiniCheMeleon,tdcommons/ppbr-az,7.693192040404181
RF_Mordred,tdcommons/ppbr-az,8.488976169920564
MolCLR,tdcommons/ppbr-az,9.370072479248046
fastprop,tdcommons/ppbr-az,8.212785119345023
MoLFormer,tdcommons/ppbr-az,10.22624198572367
MoLFormer,tdcommons/ppbr-az,10.575902495409807
minimol,tdcommons/ppbr-az,8.57939893528046
MiniCheMeleon,tdcommons/ppbr-az,7.891095384246335
MoLFormer,tdcommons/ppbr-az,10.577345024204424
Chemprop,tdcommons/ppbr-az,8.200249426062078
RF,tdcommons/ppbr-az,9.308295635517181
MoLFormer,tdcommons/ppbr-az,10.153532873163924
CheMeleon,tdcommons/ppbr-az,7.80288519106952
RF,tdcommons/ppbr-az,9.24801220295139
RF_Mordred,tdcommons/ppbr-az,8.650838637241097
RF_Mordred,tdcommons/ppbr-az,8.661894501223761
RF,tdcommons/ppbr-az,9.190342356726454
fastprop,tdcommons/ppbr-az,8.477919699134896
fastprop,tdcommons/ppbr-az,8.766118995243408
RF,polaris/adme-fang-hclint-1,0.6344981063987123
RF_Mordred,polaris/adme-fang-hclint-1,0.63798742035071
minimol,polaris/adme-fang-hclint-1,0.7180099420274828
RF_Mordred,polaris/adme-fang-hclint-1,0.6298356591737979
CheMeleon,polaris/adme-fang-hclint-1,0.7167710317978941
MiniCheMeleon,polaris/adme-fang-hclint-1,0.6612227134236691
Chemprop,polaris/adme-fang-hclint-1,0.626685908928898
CheMeleon,polaris/adme-fang-hclint-1,0.7131814694684162
Chemprop,polaris/adme-fang-hclint-1,0.6404613320422048
minimol,polaris/adme-fang-hclint-1,0.7180913260700108
MolCLR,polaris/adme-fang-hclint-1,0.5161444226079548
MolCLR,polaris/adme-fang-hclint-1,0.5069808801415129
CheMeleon,polaris/adme-fang-hclint-1,0.7133627139485433
minimol,polaris/adme-fang-hclint-1,0.7423974866309099
fastprop,polaris/adme-fang-hclint-1,0.6582023046440604
Chemprop,polaris/adme-fang-hclint-1,0.6211694042828204
MolCLR,polaris/adme-fang-hclint-1,0.5109938338633327
MiniCheMeleon,polaris/adme-fang-hclint-1,0.6550933758302928
MolCLR,polaris/adme-fang-hclint-1,0.5011019287392592
minimol,polaris/adme-fang-hclint-1,0.7227979704501122
MoLFormer,polaris/adme-fang-hclint-1,0.7046131033951475
MiniCheMeleon,polaris/adme-fang-hclint-1,0.6347104225287561
Chemprop,polaris/adme-fang-hclint-1,0.6662928003688151
fastprop,polaris/adme-fang-hclint-1,0.6489828208363397
MoLFormer,polaris/adme-fang-hclint-1,0.7095916945084295
fastprop,polaris/adme-fang-hclint-1,0.6452242176194555
minimol,polaris/adme-fang-hclint-1,0.7203062330901907
RF,polaris/adme-fang-hclint-1,0.6378675210442596
RF_Mordred,polaris/adme-fang-hclint-1,0.6344376766236837
Chemprop,polaris/adme-fang-hclint-1,0.6618933929058317
RF,polaris/adme-fang-hclint-1,0.6322776149995339
MoLFormer,polaris/adme-fang-hclint-1,0.7123970059515434
MoLFormer,polaris/adme-fang-hclint-1,0.6990324015659282
RF_Mordred,polaris/adme-fang-hclint-1,0.6351560373796259
RF,polaris/adme-fang-hclint-1,0.6287967298252345
fastprop,polaris/adme-fang-hclint-1,0.6417578777330453
MoLFormer,polaris/adme-fang-hclint-1,0.7025926795466753
MolCLR,polaris/adme-fang-hclint-1,0.508760360325342
MiniCheMeleon,polaris/adme-fang-hclint-1,0.6700567302175949
fastprop,polaris/adme-fang-hclint-1,0.6545303217655917
RF_Mordred,polaris/adme-fang-hclint-1,0.6249271871778355
RF,polaris/adme-fang-hclint-1,0.6371448617134728
CheMeleon,polaris/adme-fang-hclint-1,0.7275277687194579
MiniCheMeleon,polaris/adme-fang-hclint-1,0.6538153424971517
CheMeleon,polaris/adme-fang-hclint-1,0.7201224436011495
MiniCheMeleon,polaris/adme-fang-rclint-1,0.7263757229200902
CheMeleon,polaris/adme-fang-rclint-1,0.749084690172475
RF_Mordred,polaris/adme-fang-rclint-1,0.6361614386877628
